Title,Year,Rating,Duration,Size,Resolution,V_Coec,Bit_depth,A_Codec,Channels,Sub_Format,Hash,Audio #,Sub #
The Lord of the Rings - The Two Towers,2002,★★★★,3h 55min,10.37,HD1080,x265,Bit10,AAC,6.1,VOB,2030570965,5,7
Violent Cop,1989,★★★½,1h 42min,4.38,HD1080,x265,Bit10,AAC,2.0,PGS,2801830059,1,1
Talladega Nights - The Ballad of Ricky Bobby,2006,★★★½,2h 01min,2.09,HD1080,x265,Bit10,AAC,5.1,VOB,2612967007,2,3
Reservoir Dogs,1992,★★★★,1h 39min,3.79,HD1080,x265,Bit10,AAC,5.1,PGS,2749732152,2,1
There Will Be Blood,2007,★★★★★,2h 38min,9.95,HD1080,x265,Bit10,DTS,5.1,SRT,2739052611,1,1
Butch Cassidy and the Sundance Kid,1969,★★★★,1h 50min,6.42,HD1080,x265,Bit10,EAC3,5.1,SRT,246744771,5,16
Parasite,2019,★★★★★,2h 11min,26.55,UHD4K,x265,Bit10,Atmos,7.1,SRT,682727559,1,1
Kung Fu Panda,2008,★★★★½,1h 32min,2.87,HD1080,x265,Bit10,EAC3,5.1,PGS,4259897747,1,25
The Siege of Jadotville,2016,★★★★,1h 48min,4.84,HD1080,x265,Bit10,AC3,5.1,SRT,1512577710,1,22
The Ninth Configuration,1980,★★★★½,1h 57min,4.88,HD1080,x265,Bit10,AAC,2.0,VOB,1610863704,2,2
The Emperor's New Groove,2000,★★★★,1h 18min,1.60,HD1080,x265,Bit10,AAC,5.1,VOB,2752792965,2,6
Magnolia,1999,★★★★½,3h 08min,3.13,HD1080,x265,Bit10,AAC,5.1,SRT,3526232291,1,1
Children of Men,2006,★★★★★,1h 49min,11.28,HD1080,x265,Bit10,AC3,5.1,SRT,1127141417,2,1
Monty Python and the Holy Grail,1975,,1h 32min,4.76,HD1080,x265,Bit10,AAC,5.1,PGS,2465312378,1,1
Wind River,2017,★★★★½,1h 47min,4.14,HD1080,x265,Bit10,DTS,5.1,PGS,3461666625,2,1
Why Dont You Play in Hell,2013,★★★★½,2h 09min,9.44,HD1080,x265,Bit10,DTS,5.1,PGS,634939289,1,3
Shot Caller,2017,★★★★★,2h 00min,7.27,HD1080,x265,Bit10,DTS,5.1,SRT,2846745578,1,1
Blazing Saddles,1974,★★★★,1h 32min,3.03,HD1080,x265,Bit10,AAC,5.1,SRT,2491262372,2,1
Across the Universe,2007,★★★½,2h 13min,5.24,HD1080,x265,Bit10,AAC,5.1,VOB,2184583540,2,5
It's a Wonderful Life,1946,★★★★½,2h 10min,4.99,HD1080,x265,Bit10,AAC,2.0,PGS,918329945,1,2
Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,1964,★★★★,1h 34min,4.22,HD1080,x265,Bit10,AAC,5.1,VOB,2803789292,1,1
The Fifth Seal,1976,★★★★,1h 46min,2.74,HD720,x264,Bit8,AC3,2.0,NONE,22679793,2,0
